Nr;Kod stacji;Kod mi©dzynarodowy;Nazwa stacji;Stary Kod stacji;Data uruchomienia;Data zamkni©cia;Typ stacji;Typ obszaru;Rodzaj stacji;Wojew¢dztwo;MiejscowoòÜ;Ulica;WGS84 ? N;WGS84 ? E
1;DsBialka;;Biaàka;DsBialka;03.01.1990;31.12.2005;przemysàowa;podmiejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Biaàka;;51.197783;16.117390
2;DsBielGrot;;Bielawa - ul. Grota Roweckiego;DsBielGrot;02.01.1994;31.12.2003;tào;miejski;w budynku;DOLNOóL§SKIE;Bielawa;ul. Grota Roweckiego 6;50.682510;16.617348
3;DsBogatFrancMOB;PL0602A;Bogatynia Mobil;DsBogatMob;01.01.2015;31.12.2015;tào;miejski;mobilna;DOLNOóL§SKIE;Bogatynia;ul. Francuska/Kr©ta;50.940998;14.916790
4;DsBogChop;PL0315A;Bogatynia - Chopina;DsBogChop;01.01.1996;31.12.2013;przemysàowa;miejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Bogatynia;ul. Chopina 35;50.905856;14.967175
5;DsBogZatonieMob;PL0576A;Bogatynia - Mobil;DsBogZatonieMob;01.01.2012;31.12.2012;przemysàowa;miejski;mobilna;DOLNOóL§SKIE;Bogatynia;ul. Konrada, Zatonie;50.943245;14.913327
6;DsBoleslaMOB;PL0658A;Bolesàawiec;DsBoleslaMOB;01.01.2017;02.01.2018;tào;miejski;mobilna;DOLNOóL§SKIE;Bolesàawiec;Juliusza Sàowackiego 2;51.263245;15.570354
7;DsBrzegGlog;;Brzeg Gàogowski;DsBrzegGlog;01.01.1980;31.12.2003;przemysàowa;pozamiejski;w budynku;DOLNOóL§SKIE;Brzeg Gàogowski;;51.691438;15.917840
8;DsChojnowKil;PL0185A;Chojn¢w,ul.Kili‰skiego;DsChojnowKil;06.01.2004;31.12.2005;tào;miejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Chojn¢w;ul. Kili‰skiego;51.268889;15.940278
9;DsCzar07;PL0186A;Czarna G¢ra;DsCzar07;01.12.1996;30.09.2008;tào;pozamiejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Czarna G¢ra;;50.255072;16.801641
10;DsCzerStraza;PL0028A;Czerniawa;DsCzer02;01.07.1996;;tào;pozamiejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Czerniawa;ul. Straæacka 7;50.912475;15.312190
